time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1687228365.67367077,0.00694705,17297,0.00087270,0.00000000,0,0.00000000,967,1315,555,0.00000000
1687228365.77328825,0.00744137,17271,0.00086239,0.00000000,0,0.00000000,1315,1383,389,0.00080624
1687228365.87321210,0.00611996,17534,0.00066505,0.00000000,0,0.00000000,1383,1436,312,0.00041175
1687228365.97373080,0.00599803,17270,0.00061127,0.00000000,0,0.00000000,1436,1443,271,0.00042319
1687228366.07327724,0.00634907,17299,0.00046898,0.00000000,0,0.00000000,1443,1476,202,0.00040653
1687228366.17318225,0.00584379,17602,0.00045001,0.00000000,0,0.00000000,1476,1462,180,0.00032231
1687228366.27333856,0.00576192,17238,0.00039429,0.00000000,0,0.00000000,1462,1455,153,0.00039541
1687228366.37332344,0.00554567,17362,0.00024376,0.00000000,0,0.00000000,1455,1523,117,0.00027543
1687228366.47321486,0.00566385,17413,0.00028747,0.00000000,0,0.00000000,1523,1560,125,0.00038959
1687228366.57370090,0.00543883,17310,0.00030614,0.00000000,0,0.00000000,1560,1606,139,0.00077694
1687228366.67325783,0.00557365,17453,0.00039136,0.00000000,0,0.00000000,1606,1542,152,0.00027126
1687228366.77322984,0.00552468,17396,0.00020812,0.00000000,0,0.00000000,1542,1514,71,0.00027127
1687228366.87368369,0.00562297,17359,0.00020267,0.00000000,0,0.00000000,1514,1548,96,0.00040676
1687228366.97322750,0.00680197,17389,0.00023386,0.00000000,0,0.00000000,1548,1562,96,0.00027134
1687228367.07322884,0.00535341,17327,0.00023998,0.00000000,0,0.00000000,1562,1625,109,0.00039676
1687228367.17334986,0.00579185,17490,0.00038127,0.00000000,0,0.00000000,1625,1529,108,0.00027190
1687228367.27331114,0.00567180,17259,0.00035976,0.00000000,0,0.00000000,1529,1581,81,0.00027759
1687228367.37321734,0.00566912,17343,0.00019947,0.00000000,0,0.00000000,1581,1622,81,0.00039593
1687228367.47371531,0.00599275,17466,0.00028104,0.00000000,0,0.00000000,1622,1556,86,0.00026951
1687228367.57330036,0.00522409,17285,0.00020507,0.00000000,0,0.00000000,1556,1574,76,0.00042672
1687228367.67320514,0.00609059,17431,0.00023669,0.00000000,0,0.00000000,1574,1593,92,0.00033090
1687228367.77338386,0.00642837,17369,0.00020510,0.00000000,0,0.00000000,1593,1616,79,0.00041198
1687228367.87329459,0.00531012,17299,0.00018303,0.00000000,0,0.00000000,1616,1640,70,0.00033040
1687228367.97318268,0.00562639,17387,0.00018910,0.00000000,0,0.00000000,1640,1669,66,0.00039707
1687228368.07315040,0.00530569,17231,0.00017379,0.00000000,0,0.00000000,1669,1644,47,0.00027658
1687228368.17328048,0.00555197,17383,0.00013326,0.00000000,0,0.00000000,1644,1648,51,0.00027058
1687228368.27322984,0.00585859,17507,0.00019728,0.00000000,0,0.00000000,1648,1668,77,0.00055871
1687228368.37370539,0.00541007,17270,0.00019012,0.00000000,0,0.00000000,1668,1662,61,0.00028335
1687228368.47328591,0.00596685,17343,0.00019235,0.00000000,0,0.00000000,1662,1663,57,0.00027005
1687228368.57321668,0.00624669,17451,0.00018305,0.00000000,0,0.00000000,1663,1660,59,0.00040171
1687228368.67339134,0.00580544,17290,0.00012901,0.00000000,0,0.00000000,1660,1674,53,0.00027141
1687228368.77329898,0.00534853,17409,0.00018690,0.00000000,0,0.00000000,1674,1671,57,0.00039548
1687228368.87321687,0.00522629,17400,0.00015742,0.00000000,0,0.00000000,1671,1665,49,0.00028550
1687228368.97374582,0.00597211,17284,0.00021221,0.00000000,0,0.00000000,1665,1600,61,0.00040738
1687228369.07331181,0.00539875,17422,0.00015991,0.00000000,0,0.00000000,1600,1612,61,0.00027309
1687228369.17326188,0.00574657,17351,0.00016538,0.00000000,0,0.00000000,1612,1601,48,0.00040897
1687228369.27371120,0.00631595,17352,0.00017394,0.00000000,0,0.00000000,1601,1593,59,0.00027416
1687228369.37331915,0.00588731,17434,0.00016159,0.00000000,0,0.00000000,1593,1609,63,0.00027086
1687228369.47321653,0.00569916,17287,0.00017430,0.00000000,0,0.00000000,1609,1590,49,0.00039579
1687228369.57318401,0.00564981,17487,0.00015826,0.00000000,0,0.00000000,1590,1578,44,0.00027510
1687228369.67332149,0.00619578,17432,0.00014581,0.00000000,0,0.00000000,1578,1613,62,0.00027571
1687228369.77323031,0.00621469,17346,0.00013903,0.00000000,0,0.00000000,1613,1630,55,0.00039632
1687228369.87317157,0.00533800,17508,0.00013460,0.00000000,0,0.00000000,1630,1633,42,0.00027069
1687228369.97325969,0.00542279,17364,0.00011382,0.00000000,0,0.00000000,1633,1657,48,0.00041327
1687228370.07325459,0.00602179,17320,0.00014255,0.00000000,0,0.00000000,1657,1688,54,0.00027888
1687228370.17371678,0.00679760,17525,0.00012225,0.00000000,0,0.00000000,1688,1734,52,0.00040502
1687228370.27331424,0.00537755,17323,0.00011924,0.00000000,0,0.00000000,1734,1728,35,0.00030425
1687228370.37323165,0.00589048,17487,0.00012136,0.00000000,0,0.00000000,1728,1733,45,0.00027542
1687228370.47373509,0.00548301,17446,0.00009622,0.00000000,0,0.00000000,1733,1755,35,0.00040201
1687228370.57333088,0.00540034,17355,0.00018995,0.00000000,0,0.00000000,1755,1706,28,0.00027399
1687228370.67326498,0.00545410,17408,0.00013802,0.00000000,0,0.00000000,1706,1701,31,0.00039153
1687228370.77318168,0.00520546,17462,0.00008194,0.00000000,0,0.00000000,1701,1718,31,0.00036293
1687228370.87331867,0.00603906,17301,0.00015996,0.00000000,0,0.00000000,1718,1706,45,0.00027413
1687228370.97319579,0.00609930,17566,0.00005068,0.00000000,0,0.00000000,1706,1711,18,0.00038707
1687228371.07338715,0.00672255,17280,0.00021573,0.00000000,0,0.00000000,1711,1626,48,0.00027576
1687228371.17336392,0.00540299,17311,0.00009196,0.00000000,0,0.00000000,1626,1633,31,0.00040588
1687228371.27319956,0.00569977,17454,0.00018122,0.00000000,0,0.00000000,1633,1626,45,0.00033006
1687228371.37321138,0.00541370,17436,0.00014316,0.00000000,0,0.00000000,1626,1650,47,0.00041150
1687228371.47331119,0.00594613,17396,0.00018298,0.00000000,0,0.00000000,1650,1619,38,0.00027080
1687228371.57327199,0.00672755,17436,0.00008357,0.00000000,0,0.00000000,1619,1641,35,0.00046954
1687228371.67318940,0.00587956,17412,0.00012052,0.00000000,0,0.00000000,1641,1650,39,0.00027181
